Call Type,Incident Number,Call Final Disposition,Neighborhooods - Analysis Boundaries
Traffic Collision,98,Patient Declined Transport,Hayes Valley
Alarms,12,No Merit,Financial District/South Beach
Smoke Investigation (Outside),9,Fire,Portola
Medical Incident,446,Code 2 Transport,Presidio
Medical Incident,178,Cancelled,Nob Hill
Traffic Collision,5,Cancelled,Lone Mountain/USF
Traffic Collision,638,Code 2 Transport,Mission
Vehicle Fire,5,Fire,Inner Sunset
Citizen Assist / Service Call,3,Other,Tenderloin
Traffic Collision,6,Medical Examiner,Inner Richmond
Medical Incident,24,Fire,Haight Ashbury
Gas Leak (Natural and LP Gases),9,Fire,Twin Peaks
Smoke Investigation (Outside),26,Fire,West of Twin Peaks
Odor (Strange / Unknown),2,No Merit,Haight Ashbury
Structure Fire,71,Fire,Seacliff
Traffic Collision,19,Other,Lakeshore
Traffic Collision,2,Gone on Arrival,Bernal Heights
Structure Fire,6,No Merit,Hayes Valley
Medical Incident,111,Cancelled,Marina
Structure Fire,29,Fire,McLaren Park
Medical Incident,2,CHP,Visitacion Valley
Gas Leak (Natural and LP Gases),3,No Merit,Visitacion Valley
Other,1,Unable to Locate,Haight Ashbury
Medical Incident,6,Other,Twin Peaks
Medical Incident,964,Code 3 Transport,South of Market
Medical Incident,214,SFPD,Tenderloin
Traffic Collision,2,Code 2 Transport,Lincoln Park
Traffic Collision,14,SFPD,Golden Gate Park
Other,7,Patient Declined Transport,Bernal Heights
Watercraft in Distress,1,Fire,North Beach
Medical Incident,382,Patient Declined Transport,Western Addition
Medical Incident,2677,Code 2 Transport,Pacific Heights
Traffic Collision,3,Gone on Arrival,Golden Gate Park
Medical Incident,11,Unable to Locate,Glen Park
Smoke Investigation (Outside),12,Fire,Lincoln Park
Medical Incident,295,Gone on Arrival,Tenderloin
Medical Incident,159,Code 3 Transport,Lone Mountain/USF
Traffic Collision,35,Code 3 Transport,Nob Hill
Citizen Assist / Service Call,2,No Merit,Potrero Hill
Traffic Collision,15,Fire,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,2,No Merit,Chinatown
Gas Leak (Natural and LP Gases),3,Cancelled,Mission
Vehicle Fire,7,Fire,Haight Ashbury
Traffic Collision,15,SFPD,Bernal Heights
Medical Incident,68,Unable to Locate,North Beach
Traffic Collision,42,Against Medical Advice,Outer Mission
Elevator / Escalator Rescue,1,No Merit,Outer Richmond
Medical Incident,46,Fire,Inner Sunset
Citizen Assist / Service Call,7,Patient Declined Transport,Excelsior
Medical Incident,124,Code 2 Transport,McLaren Park
Other,27,Fire,Japantown
Outside Fire,6,Unable to Locate,Castro/Upper Market
Citizen Assist / Service Call,16,Fire,Twin Peaks
Other,18,Cancelled,Bayview Hunters Point
Medical Incident,12,SFPD,Haight Ashbury
Traffic Collision,6,Patient Declined Transport,Glen Park
Outside Fire,2,Unable to Locate,Outer Richmond
Medical Incident,159,Code 2 Transport,Seacliff
Medical Incident,63,Against Medical Advice,Excelsior
Alarms,3,Other,Bayview Hunters Point
Medical Incident,7,No Merit,None
Other,1,Unable to Locate,Tenderloin
Medical Incident,33,Cancelled,Presidio Heights
Traffic Collision,31,Patient Declined Transport,North Beach
Electrical Hazard,1,Fire,None
Other,10,Cancelled,Treasure Island
Traffic Collision,15,SFPD,Financial District/South Beach
Vehicle Fire,57,Fire,Tenderloin
Structure Fire,2,Cancelled,Lakeshore
Other,1,SFPD,Glen Park
Medical Incident,42,Medical Examiner,Twin Peaks
Traffic Collision,13,Gone on Arrival,Financial District/South Beach
Citizen Assist / Service Call,1,Other,Inner Sunset
Other,9,Code 2 Transport,None
HazMat,3,Code 2 Transport,Mission
Structure Fire,708,Fire,Pacific Heights
Citizen Assist / Service Call,3,Against Medical Advice,Western Addition
Other,2,Cancelled,Noe Valley
Traffic Collision,5,Against Medical Advice,Russian Hill
Medical Incident,8,Gone on Arrival,Haight Ashbury
Traffic Collision,6,Unable to Locate,Western Addition
Other,1,Patient Declined Transport,Financial District/South Beach
Other,1,SFPD,North Beach
HazMat,11,Fire,Financial District/South Beach
Traffic Collision,19,Code 3 Transport,Sunset/Parkside
Other,83,Fire,Hayes Valley
Outside Fire,12,No Merit,Bayview Hunters Point
Citizen Assist / Service Call,1,Other,Hayes Valley
Alarms,64,Fire,Lincoln Park
Other,8,Code 2 Transport,Pacific Heights
Gas Leak (Natural and LP Gases),28,Fire,Russian Hill
Structure Fire,2,Fire,None
Other,2,Gone on Arrival,Tenderloin
Structure Fire,11,Patient Declined Transport,Mission
Medical Incident,268,Code 3 Transport,Visitacion Valley
Medical Incident,79,Against Medical Advice,Inner Richmond
Other,88,Fire,Inner Sunset
Medical Incident,7,CHP,South of Market
Traffic Collision,25,SFPD,Western Addition
Gas Leak (Natural and LP Gases),3,No Merit,South of Market
Fuel Spill,4,Against Medical Advice,South of Market
Structure Fire,19,Code 3 Transport,Outer Mission
Structure Fire,6,Code 2 Transport,Hayes Valley
Water Rescue,65,Fire,Russian Hill
Outside Fire,1,No Merit,Treasure Island
Medical Incident,80,Patient Declined Transport,Golden Gate Park
Smoke Investigation (Outside),2,Unable to Locate,Mission
Traffic Collision,77,Patient Declined Transport,Tenderloin
Citizen Assist / Service Call,8,Code 2 Transport,Chinatown
Smoke Investigation (Outside),1,Unable to Locate,West of Twin Peaks
Gas Leak (Natural and LP Gases),4,No Merit,Lone Mountain/USF
Citizen Assist / Service Call,6,Patient Declined Transport,Outer Richmond
High Angle Rescue,9,Code 2 Transport,Seacliff
Traffic Collision,9,Gone on Arrival,Western Addition
Structure Fire,11,Code 2 Transport,Japantown
Other,8,Cancelled,Marina
Outside Fire,1,SFPD,Castro/Upper Market
Elevator / Escalator Rescue,6,Patient Declined Transport,Chinatown
Vehicle Fire,7,Fire,North Beach
Medical Incident,33,Unable to Locate,Haight Ashbury
Alarms,3,Cancelled,Twin Peaks
Administrative,1,Other,Mission Bay
Medical Incident,251,No Merit,Pacific Heights
Outside Fire,1,No Merit,Noe Valley
Alarms,3,Other,Marina
Smoke Investigation (Outside),2,Unable to Locate,Portola
Odor (Strange / Unknown),5,Fire,Pacific Heights
HazMat,6,Fire,Western Addition
Other,8,Code 3 Transport,South of Market
Other,9,SFPD,Tenderloin
Elevator / Escalator Rescue,108,Fire,Nob Hill
Electrical Hazard,28,Fire,Pacific Heights
Medical Incident,285,Patient Declined Transport,Bernal Heights
Citizen Assist / Service Call,6,Code 2 Transport,Potrero Hill
Traffic Collision,9,Fire,Mission Bay
Traffic Collision,21,Unable to Locate,Financial District/South Beach
Traffic Collision,6,Cancelled,Potrero Hill
Other,1,Medical Examiner,Twin Peaks
Medical Incident,6,SFPD,Glen Park
Medical Incident,60,Code 2 Transport,None
Traffic Collision,19,Patient Declined Transport,Haight Ashbury
Water Rescue,9,Patient Declined Transport,Lakeshore
Gas Leak (Natural and LP Gases),26,Fire,Outer Mission
Medical Incident,1177,Patient Declined Transport,Financial District/South Beach
Odor (Strange / Unknown),2,No Merit,Hayes Valley
Medical Incident,33,SFPD,North Beach
Traffic Collision,16,Unable to Locate,Bernal Heights
Medical Incident,154,Against Medical Advice,Outer Richmond
Outside Fire,38,Fire,Lakeshore
Medical Incident,20,No Merit,McLaren Park
Electrical Hazard,4,Fire,Seacliff
Medical Incident,65,Fire,Hayes Valley
Medical Incident,42,Cancelled,Noe Valley
Electrical Hazard,1,Fire,McLaren Park
Medical Incident,141,Against Medical Advice,Castro/Upper Market
Traffic Collision,9,Cancelled,Chinatown
Medical Incident,19,No Merit,Seacliff
Electrical Hazard,1,No Merit,Hayes Valley
Elevator / Escalator Rescue,5,Fire,Sunset/Parkside
Alarms,6,Other,Presidio Heights
Elevator / Escalator Rescue,4,Cancelled,Tenderloin
Citizen Assist / Service Call,7,Patient Declined Transport,Inner Richmond
Medical Incident,35,Gone on Arrival,North Beach
Outside Fire,1,SFPD,Inner Richmond
Medical Incident,339,Cancelled,Bayview Hunters Point
Medical Incident,48,Fire,Japantown
Water Rescue,38,Medical Examiner,North Beach
Medical Incident,937,Unable to Locate,Tenderloin
Traffic Collision,7,Unable to Locate,Golden Gate Park
Explosion,4,Fire,Outer Mission
Other,2,Cancelled,Presidio Heights
Medical Incident,7,Gone on Arrival,Glen Park
Medical Incident,55,Cancelled,Treasure Island
HazMat,1,No Merit,Mission
Other,13,Cancelled,Sunset/Parkside
Traffic Collision,2,SFPD,Mission Bay
Other,189,Fire,Tenderloin
Smoke Investigation (Outside),1,No Merit,Golden Gate Park
Medical Incident,312,Code 3 Transport,Chinatown
Traffic Collision,34,Patient Declined Transport,Inner Sunset
Outside Fire,2,Code 2 Transport,Nob Hill
Water Rescue,9,Patient Declined Transport,Outer Richmond
Medical Incident,120,Against Medical Advice,Lakeshore
Outside Fire,79,Fire,Outer Richmond
Elevator / Escalator Rescue,3,Fire,Presidio Heights
Medical Incident,242,Code 3 Transport,Potrero Hill
Medical Incident,78,Medical Examiner,Russian Hill
Outside Fire,148,Fire,Castro/Upper Market
Fuel Spill,1,No Merit,Financial District/South Beach
Medical Incident,174,Patient Declined Transport,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,6,No Merit,Lone Mountain/USF
Vehicle Fire,38,Fire,Hayes Valley
Gas Leak (Natural and LP Gases),5,Code 2 Transport,Chinatown
HazMat,3,Fire,Mission Bay
Traffic Collision,24,Code 3 Transport,Treasure Island
Other,1,Unable to Locate,Hayes Valley
Vehicle Fire,3,Cancelled,Bayview Hunters Point
Citizen Assist / Service Call,2,Code 2 Transport,Visitacion Valley
Structure Fire,10,No Merit,Haight Ashbury
Traffic Collision,2,Medical Examiner,Excelsior
Medical Incident,14,Other,Outer Mission
Traffic Collision,17,Fire,Western Addition
Citizen Assist / Service Call,9,No Merit,South of Market
Other,3,SFPD,Inner Sunset
Alarms,3,No Merit,Western Addition
Smoke Investigation (Outside),2,No Merit,Bernal Heights
Outside Fire,2,Other,Financial District/South Beach
Traffic Collision,5,Gone on Arrival,Mission Bay
Outside Fire,3,Duplicate,Treasure Island
Citizen Assist / Service Call,63,Fire,Russian Hill
Traffic Collision,86,Code 3 Transport,Bayview Hunters Point
Odor (Strange / Unknown),4,Code 2 Transport,Tenderloin
Vehicle Fire,4,Cancelled,Treasure Island
Smoke Investigation (Outside),5,No Merit,Financial District/South Beach
Elevator / Escalator Rescue,30,Fire,Marina
Traffic Collision,2,No Merit,Portola
Alarms,121,Fire,Portola
Medical Incident,6,SFPD,Japantown
Other,27,Fire,Haight Ashbury
Outside Fire,4,Code 2 Transport,Sunset/Parkside
Outside Fire,40,Fire,Inner Richmond
Alarms,832,Fire,West of Twin Peaks
Other,6,Cancelled,Nob Hill
Other,29,Code 2 Transport,Presidio
Outside Fire,7,Other,Bernal Heights
Traffic Collision,5,Cancelled,Visitacion Valley
Traffic Collision,13,Other,Excelsior
Medical Incident,39,Medical Examiner,Outer Mission
Traffic Collision,29,No Merit,West of Twin Peaks
Medical Incident,20,Gone on Arrival,Hayes Valley
Traffic Collision,85,No Merit,Mission
Medical Incident,21,No Merit,Presidio
Medical Incident,12,Other,Russian Hill
Medical Incident,16,Gone on Arrival,Japantown
Medical Incident,43,Unable to Locate,Inner Sunset
Alarms,2412,Fire,Mission
Citizen Assist / Service Call,13,Patient Declined Transport,Lakeshore
Electrical Hazard,5,Fire,Presidio
Alarms,4,Code 3 Transport,Lakeshore
Medical Incident,55,SFPD,Hayes Valley
Mutual Aid / Assist Outside Agency,11,Other,Mission
Medical Incident,52,Fire,North Beach
Structure Fire,6,No Merit,Tenderloin
Citizen Assist / Service Call,38,Fire,Outer Mission
Traffic Collision,9,Unable to Locate,Oceanview/Merced/Ingleside
Electrical Hazard,1,Cancelled,Outer Richmond
Electrical Hazard,1,Other,South of Market
Alarms,5,Code 2 Transport,Financial District/South Beach
Vehicle Fire,2,No Merit,Pacific Heights
"Extrication / Entrapped (Machinery, Vehicle)",2,Cancelled,Oceanview/Merced/Ingleside
Medical Incident,15,Fire,Glen Park
Medical Incident,83,Against Medical Advice,Bernal Heights
Water Rescue,12,No Merit,Presidio
Fuel Spill,1,Fire,Noe Valley
Traffic Collision,9,Unable to Locate,Outer Richmond
Medical Incident,27,SFPD,Outer Mission
Medical Incident,25,Medical Examiner,Japantown
Alarms,8,Code 2 Transport,Lakeshore
Water Rescue,82,Fire,North Beach
Gas Leak (Natural and LP Gases),11,Fire,Glen Park
Elevator / Escalator Rescue,43,Fire,Mission
Traffic Collision,8,Unable to Locate,Castro/Upper Market
Other,8,Other,Inner Sunset
Structure Fire,10,Against Medical Advice,West of Twin Peaks
Citizen Assist / Service Call,1,Cancelled,Noe Valley
Citizen Assist / Service Call,2,Against Medical Advice,Castro/Upper Market
Alarms,6,Cancelled,Inner Sunset
Gas Leak (Natural and LP Gases),22,Fire,North Beach
Citizen Assist / Service Call,2,Patient Declined Transport,Financial District/South Beach
Citizen Assist / Service Call,71,Fire,Hayes Valley
Structure Fire,11,SFPD,Visitacion Valley
Traffic Collision,67,Against Medical Advice,Tenderloin
Traffic Collision,8,Other,Mission Bay
Structure Fire,281,Fire,Chinatown
Medical Incident,54,Against Medical Advice,Golden Gate Park
Other,30,Fire,Twin Peaks
Vehicle Fire,3,Code 2 Transport,Visitacion Valley
Citizen Assist / Service Call,4,Cancelled,Bayview Hunters Point
Citizen Assist / Service Call,38,Fire,Japantown
Elevator / Escalator Rescue,1,Fire,Portola
HazMat,2,Other,Western Addition
Vehicle Fire,2,No Merit,South of Market
Alarms,1278,Fire,Marina
Fuel Spill,11,Fire,Treasure Island
Medical Incident,164,Patient Declined Transport,Inner Richmond
Traffic Collision,10,No Merit,Marina
Fuel Spill,49,Fire,Bayview Hunters Point
Medical Incident,6,Gone on Arrival,Outer Mission
Elevator / Escalator Rescue,5,Fire,West of Twin Peaks
Explosion,5,Fire,Glen Park
Medical Incident,92,Medical Examiner,Hayes Valley
Vehicle Fire,14,Fire,Russian Hill
Structure Fire,417,Fire,Potrero Hill
Structure Fire,32,Patient Declined Transport,Nob Hill
Citizen Assist / Service Call,2,Unable to Locate,Tenderloin
Smoke Investigation (Outside),1,No Merit,Lakeshore
Outside Fire,1,Unable to Locate,Western Addition
Traffic Collision,6,CHP,Portola
Medical Incident,17,SFPD,Russian Hill
Traffic Collision,2,Unable to Locate,Inner Richmond
Traffic Collision,136,Code 2 Transport,Treasure Island
Citizen Assist / Service Call,2,Code 3 Transport,Visitacion Valley
Elevator / Escalator Rescue,4,No Merit,Western Addition
Medical Incident,44,Other,Hayes Valley
Traffic Collision,5,Gone on Arrival,Excelsior
Medical Incident,9,Duplicate,South of Market
Citizen Assist / Service Call,2,Patient Declined Transport,Golden Gate Park
Other,1,No Merit,Chinatown
Traffic Collision,442,Code 2 Transport,Bayview Hunters Point
Other,12,Patient Declined Transport,Excelsior
Citizen Assist / Service Call,6,Against Medical Advice,Inner Richmond
HazMat,3,Fire,Excelsior
Smoke Investigation (Outside),13,Fire,Noe Valley
Medical Incident,464,Patient Declined Transport,Castro/Upper Market
Fuel Spill,1,No Merit,Lakeshore
Outside Fire,41,Fire,Oceanview/Merced/Ingleside
Smoke Investigation (Outside),74,Fire,Bayview Hunters Point
Medical Incident,2651,Code 2 Transport,Chinatown
Medical Incident,267,Patient Declined Transport,Outer Richmond
Traffic Collision,52,Code 2 Transport,Noe Valley
Medical Incident,500,Against Medical Advice,Financial District/South Beach
Smoke Investigation (Outside),1,Unable to Locate,Sunset/Parkside
Vehicle Fire,14,Fire,Outer Mission
Traffic Collision,2,Cancelled,None
Medical Incident,15,Other,Japantown
Smoke Investigation (Outside),8,Fire,Treasure Island
Medical Incident,14,Gone on Arrival,Russian Hill
Other,2,Medical Examiner,Inner Sunset
Medical Incident,2240,Code 2 Transport,Potrero Hill
Citizen Assist / Service Call,4,Patient Declined Transport,Bernal Heights
Traffic Collision,6,Against Medical Advice,Haight Ashbury
Citizen Assist / Service Call,4,No Merit,Pacific Heights
Alarms,479,Fire,Presidio Heights
Water Rescue,12,Medical Examiner,Russian Hill
Vehicle Fire,2,Other,Hayes Valley
Alarms,787,Fire,Sunset/Parkside
Medical Incident,86,Medical Examiner,North Beach
Traffic Collision,17,No Merit,Sunset/Parkside
Outside Fire,3,Cancelled,South of Market
Alarms,7,Cancelled,Tenderloin
Structure Fire,10,Patient Declined Transport,Presidio Heights
Gas Leak (Natural and LP Gases),7,Fire,Japantown
Medical Incident,30,Medical Examiner,Glen Park
Other,3,Other,Tenderloin
Structure Fire,214,Fire,Visitacion Valley
Medical Incident,75,Against Medical Advice,Oceanview/Merced/Ingleside
Gas Leak (Natural and LP Gases),62,Fire,Hayes Valley
Citizen Assist / Service Call,54,Fire,North Beach
Medical Incident,5,Code 3 Transport,None
Outside Fire,5,Unable to Locate,Mission Bay
Industrial Accidents,6,Code 2 Transport,Tenderloin
Outside Fire,595,Fire,Financial District/South Beach
Medical Incident,296,Patient Declined Transport,Lakeshore
Citizen Assist / Service Call,1,Unable to Locate,Inner Sunset
Electrical Hazard,1,No Merit,Outer Mission
Water Rescue,13,Fire,Hayes Valley
Traffic Collision,9,Against Medical Advice,Inner Sunset
Citizen Assist / Service Call,43,Fire,Glen Park
Water Rescue,15,Patient Declined Transport,Financial District/South Beach
Traffic Collision,9,Other,Western Addition
Medical Incident,26,Fire,Outer Mission
Traffic Collision,5,Patient Declined Transport,Twin Peaks
Traffic Collision,2,Unable to Locate,Lakeshore
Traffic Collision,29,Fire,Excelsior
Gas Leak (Natural and LP Gases),1,No Merit,Pacific Heights
Outside Fire,162,Fire,Bernal Heights
Alarms,9,Other,West of Twin Peaks
Other,1,Cancelled,Portola
Vehicle Fire,3,Against Medical Advice,Bernal Heights
Alarms,4,Code 2 Transport,Outer Richmond
Alarms,1326,Fire,Nob Hill
Other,7,Cancelled,West of Twin Peaks
Gas Leak (Natural and LP Gases),1,Unable to Locate,Haight Ashbury
Elevator / Escalator Rescue,3,No Merit,Mission Bay
Structure Fire,4,Cancelled,Western Addition
Medical Incident,2,Unable to Locate,Twin Peaks
Odor (Strange / Unknown),1,Fire,Lone Mountain/USF
Medical Incident,199,No Merit,Lone Mountain/USF
Traffic Collision,20,No Merit,Nob Hill
Other,47,Code 2 Transport,South of Market
Citizen Assist / Service Call,8,Against Medical Advice,Lakeshore
Alarms,3,Cancelled,Haight Ashbury
Electrical Hazard,25,Fire,Lone Mountain/USF
Medical Incident,2192,No Merit,South of Market
Medical Incident,12,Other,Glen Park
Outside Fire,101,Fire,Golden Gate Park
Other,4,Medical Examiner,Tenderloin
Odor (Strange / Unknown),8,Fire,South of Market
Electrical Hazard,24,Fire,South of Market
Other,33,Cancelled,Mission
Citizen Assist / Service Call,2,Other,Outer Mission
Medical Incident,1606,Code 2 Transport,Visitacion Valley
Elevator / Escalator Rescue,1,Fire,Lincoln Park
Smoke Investigation (Outside),1,No Merit,Castro/Upper Market
Medical Incident,40,Other,North Beach
Electrical Hazard,5,Patient Declined Transport,Bayview Hunters Point
Structure Fire,34,Code 2 Transport,Outer Mission
Smoke Investigation (Outside),1,No Merit,Outer Richmond
Alarms,20,Other,Mission
Odor (Strange / Unknown),5,Patient Declined Transport,Bayview Hunters Point
Medical Incident,45,Fire,Russian Hill
Water Rescue,9,Patient Declined Transport,Golden Gate Park
Smoke Investigation (Outside),2,Unable to Locate,Noe Valley
Fuel Spill,1,Other,Mission
Medical Incident,1,Gone on Arrival,Twin Peaks
Traffic Collision,6,Medical Examiner,Financial District/South Beach
Structure Fire,443,Fire,Lone Mountain/USF
"Extrication / Entrapped (Machinery, Vehicle)",7,Code 2 Transport,Japantown
Other,22,Fire,Outer Mission
Traffic Collision,40,Other,Bernal Heights
Outside Fire,4,Cancelled,Visitacion Valley
Outside Fire,1,No Merit,West of Twin Peaks
Alarms,3,No Merit,Inner Richmond
Structure Fire,27,Cancelled,Financial District/South Beach
Traffic Collision,198,Code 2 Transport,Sunset/Parkside
Traffic Collision,9,Fire,Inner Richmond
Medical Incident,53,Medical Examiner,Haight Ashbury
Structure Fire,13,Patient Declined Transport,Bayview Hunters Point
Medical Incident,8,Code 3 Transport,McLaren Park
Outside Fire,10,No Merit,Mission
Smoke Investigation (Outside),21,Fire,Sunset/Parkside
Fuel Spill,2,Fire,Nob Hill
Medical Incident,31,Code 3 Transport,Seacliff
Vehicle Fire,2,No Merit,Potrero Hill
Smoke Investigation (Outside),2,Unable to Locate,Treasure Island
Citizen Assist / Service Call,45,Fire,Haight Ashbury
Fuel Spill,4,Code 2 Transport,Outer Richmond
Medical Incident,489,Other,Tenderloin
Other,2,Medical Examiner,Glen Park
Train / Rail Incident,13,Fire,Outer Mission
Medical Incident,89,Against Medical Advice,Mission Bay
Medical Incident,4,SFPD,Twin Peaks
Smoke Investigation (Outside),1,Unable to Locate,Bayview Hunters Point
Elevator / Escalator Rescue,2,Against Medical Advice,Lone Mountain/USF
Traffic Collision,23,Other,Golden Gate Park
Outside Fire,1,Unable to Locate,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,3,Cancelled,Nob Hill
Structure Fire,1553,Fire,South of Market
Medical Incident,327,Code 3 Transport,Pacific Heights
Traffic Collision,10,Cancelled,Presidio
Medical Incident,594,Cancelled,Mission
Medical Incident,1498,Code 2 Transport,Lone Mountain/USF
Traffic Collision,155,Code 2 Transport,Nob Hill
Citizen Assist / Service Call,4,Patient Declined Transport,Mission Bay
Other,7,Code 2 Transport,Visitacion Valley
Vehicle Fire,2,Fire,Twin Peaks
Medical Incident,631,Medical Examiner,Tenderloin
Other,6,No Merit,South of Market
Outside Fire,1,SFPD,Mission Bay
Gas Leak (Natural and LP Gases),34,Fire,Inner Sunset
Other,48,Fire,Russian Hill
Medical Incident,3,Duplicate,Chinatown
Gas Leak (Natural and LP Gases),1,Unable to Locate,Glen Park
Traffic Collision,14,Fire,Outer Richmond
Fuel Spill,1,Unable to Locate,Noe Valley
Traffic Collision,39,Against Medical Advice,Hayes Valley
Alarms,6,No Merit,Outer Richmond
Outside Fire,90,Fire,Western Addition
Citizen Assist / Service Call,3,Cancelled,Sunset/Parkside
Medical Incident,35,Other,Haight Ashbury
Citizen Assist / Service Call,425,Fire,Tenderloin
Industrial Accidents,3,Code 2 Transport,North Beach
Elevator / Escalator Rescue,1,Unable to Locate,West of Twin Peaks
Gas Leak (Natural and LP Gases),4,Patient Declined Transport,Western Addition
Medical Incident,71,Cancelled,Portola
Vehicle Fire,2,Other,Inner Sunset
Medical Incident,19026,Code 2 Transport,South of Market
Traffic Collision,7,Code 3 Transport,Lincoln Park
Smoke Investigation (Outside),26,Fire,Nob Hill
Fuel Spill,19,Fire,Sunset/Parkside
Electrical Hazard,20,Fire,Visitacion Valley
Medical Incident,141,Cancelled,West of Twin Peaks
Odor (Strange / Unknown),1,Fire,Visitacion Valley
Traffic Collision,27,Other,Financial District/South Beach
Medical Incident,119,No Merit,Visitacion Valley
Traffic Collision,2,Duplicate,Treasure Island
Fuel Spill,7,Fire,Presidio Heights
HazMat,3,Fire,Inner Richmond
Citizen Assist / Service Call,2,Code 2 Transport,Seacliff
Other,6,Patient Declined Transport,Inner Richmond
Electrical Hazard,2,No Merit,Twin Peaks
Traffic Collision,81,Patient Declined Transport,Outer Mission
Other,2,Against Medical Advice,Golden Gate Park
Smoke Investigation (Outside),8,Fire,Marina
Gas Leak (Natural and LP Gases),56,Fire,Haight Ashbury
Medical Incident,37,Fire,Twin Peaks
Elevator / Escalator Rescue,6,No Merit,Financial District/South Beach
Medical Incident,55,Code 3 Transport,Presidio
Traffic Collision,89,Code 3 Transport,Mission
Water Rescue,40,Code 2 Transport,Presidio
Traffic Collision,9,Cancelled,Pacific Heights
Citizen Assist / Service Call,2,Cancelled,Presidio Heights
Outside Fire,1,Cancelled,Chinatown
Alarms,3,No Merit,Lakeshore
Outside Fire,11,Unable to Locate,Bernal Heights
Traffic Collision,12,Fire,Lakeshore
Traffic Collision,4,Unable to Locate,Excelsior
Medical Incident,69,Unable to Locate,Russian Hill
Medical Incident,191,Against Medical Advice,Western Addition
Medical Incident,17,Other,Inner Sunset
Medical Incident,18,Cancelled,Lincoln Park
Other,5,Against Medical Advice,Bernal Heights
Other,13,SFPD,Outer Mission
Traffic Collision,42,Code 3 Transport,West of Twin Peaks
Traffic Collision,7,Other,Oceanview/Merced/Ingleside
Explosion,9,Fire,Haight Ashbury
Traffic Collision,8,Code 3 Transport,Portola
Odor (Strange / Unknown),1,Unable to Locate,South of Market
Traffic Collision,116,Code 2 Transport,Marina
Citizen Assist / Service Call,8,Cancelled,Marina
Other,3,Patient Declined Transport,Outer Richmond
Other,5,Code 2 Transport,Chinatown
Industrial Accidents,6,Patient Declined Transport,Mission
HazMat,8,Fire,Outer Richmond
Other,2,Against Medical Advice,Financial District/South Beach
Water Rescue,29,Fire,Tenderloin
Traffic Collision,64,No Merit,Bayview Hunters Point
