NodeID,ParentID,Incident Number
Assist Police.Bayview Hunters Point,Assist Police,
Other.Lincoln Park,Other,
"Extrication - Entrapped (Machinery, Vehicle).Castro-Upper Market","Extrication - Entrapped (Machinery, Vehicle)",
Citizen Assist - Service Call.Treasure Island,Citizen Assist - Service Call,
Outside Fire.McLaren Park,Outside Fire,
Smoke Investigation (Outside).Haight Ashbury,Smoke Investigation (Outside),
Confined Space - Structure Collapse.Marina,Confined Space - Structure Collapse,
Smoke Investigation (Outside).Japantown,Smoke Investigation (Outside),
Explosion.Noe Valley,Explosion,
Water Rescue.Treasure Island,Water Rescue,
Electrical Hazard.Golden Gate Park,Electrical Hazard,
Outside Fire.Lone Mountain-USF,Outside Fire,
Fuel Spill.North Beach,Fuel Spill,
Odor (Strange - Unknown).Bernal Heights,Odor (Strange - Unknown),
Explosion.Bayview Hunters Point,Explosion,
Elevator - Escalator Rescue.Twin Peaks,Elevator - Escalator Rescue,
Odor (Strange - Unknown).Financial District-South Beach,Odor (Strange - Unknown),
Smoke Investigation (Outside).Glen Park,Smoke Investigation (Outside),
Train - Rail Incident.West of Twin Peaks,Train - Rail Incident,
Smoke Investigation (Outside).North Beach,Smoke Investigation (Outside),
High Angle Rescue.North Beach,High Angle Rescue,
Fuel Spill.Golden Gate Park,Fuel Spill,
Confined Space - Structure Collapse.Japantown,Confined Space - Structure Collapse,
Train - Rail Fire.Tenderloin,Train - Rail Fire,
Fuel Spill.Bernal Heights,Fuel Spill,
Electrical Hazard.Glen Park,Electrical Hazard,
Odor (Strange - Unknown).Glen Park,Odor (Strange - Unknown),
Electrical Hazard.North Beach,Electrical Hazard,
Smoke Investigation (Outside).Oceanview-Merced-Ingleside,Smoke Investigation (Outside),
Confined Space - Structure Collapse.Potrero Hill,Confined Space - Structure Collapse,
Elevator - Escalator Rescue.Excelsior,Elevator - Escalator Rescue,
Explosion.South of Market,Explosion,
Fuel Spill.Oceanview-Merced-Ingleside,Fuel Spill,
HazMat.West of Twin Peaks,HazMat,
Electrical Hazard.Japantown,Electrical Hazard,
Watercraft in Distress.Presidio,Watercraft in Distress,
Smoke Investigation (Outside).Mission Bay,Smoke Investigation (Outside),
Train - Rail Fire.Bayview Hunters Point,Train - Rail Fire,
Outside Fire.Presidio Heights,Outside Fire,
Electrical Hazard.Inner Sunset,Electrical Hazard,
Odor (Strange - Unknown).Inner Sunset,Odor (Strange - Unknown),
Elevator - Escalator Rescue.Castro-Upper Market,Elevator - Escalator Rescue,
Elevator - Escalator Rescue.Inner Richmond,Elevator - Escalator Rescue,
Other.Seacliff,Other,
Outside Fire.Marina,Outside Fire,
Alarms.Bernal Heights,Alarms,
Smoke Investigation (Outside).Western Addition,Smoke Investigation (Outside),
Explosion.Chinatown,Explosion,
Structure Fire.Glen Park,Structure Fire,
Confined Space - Structure Collapse.South of Market,Confined Space - Structure Collapse,
Alarms.Golden Gate Park,Alarms,
Industrial Accidents.Lone Mountain-USF,Industrial Accidents,
Fuel Spill.Western Addition,Fuel Spill,
Electrical Hazard.Haight Ashbury,Electrical Hazard,
Fuel Spill.Inner Sunset,Fuel Spill,
Fuel Spill.Mission Bay,Fuel Spill,
Assist Police.Chinatown,Assist Police,
Assist Police.Potrero Hill,Assist Police,
Industrial Accidents.South of Market,Industrial Accidents,
Odor (Strange - Unknown).Twin Peaks,Odor (Strange - Unknown),
Outside Fire.Lincoln Park,Outside Fire,
High Angle Rescue.Twin Peaks,High Angle Rescue,
Structure Fire.Inner Richmond,Structure Fire,
Elevator - Escalator Rescue.Bernal Heights,Elevator - Escalator Rescue,
Explosion.Tenderloin,Explosion,
Vehicle Fire.Portola,Vehicle Fire,
Gas Leak (Natural and LP Gases).Portola,Gas Leak (Natural and LP Gases),
Vehicle Fire.Chinatown,Vehicle Fire,
Elevator - Escalator Rescue.North Beach,Elevator - Escalator Rescue,
Fuel Spill.Excelsior,Fuel Spill,
Structure Fire.Russian Hill,Structure Fire,
Gas Leak (Natural and LP Gases).None,Gas Leak (Natural and LP Gases),
HazMat.Bayview Hunters Point,HazMat,
Alarms.Castro-Upper Market,Alarms,
Elevator - Escalator Rescue.Oceanview-Merced-Ingleside,Elevator - Escalator Rescue,
Vehicle Fire.Lone Mountain-USF,Vehicle Fire,
Citizen Assist - Service Call.Lincoln Park,Citizen Assist - Service Call,
HazMat.Noe Valley,HazMat,
Administrative.Sunset-Parkside,Administrative,
Industrial Accidents.Chinatown,Industrial Accidents,
Assist Police.South of Market,Assist Police,
HazMat.Marina,HazMat,
Water Rescue.Seacliff,Water Rescue,
Odor (Strange - Unknown).Outer Mission,Odor (Strange - Unknown),
Smoke Investigation (Outside).Inner Richmond,Smoke Investigation (Outside),
Gas Leak (Natural and LP Gases).Seacliff,Gas Leak (Natural and LP Gases),
Citizen Assist - Service Call.Presidio,Citizen Assist - Service Call,
Fuel Spill.Castro-Upper Market,Fuel Spill,
Alarms.Excelsior,Alarms,
Odor (Strange - Unknown).Russian Hill,Odor (Strange - Unknown),
Explosion.Pacific Heights,Explosion,
Watercraft in Distress.Mission Bay,Watercraft in Distress,
Fuel Spill.Inner Richmond,Fuel Spill,
Assist Police.Golden Gate Park,Assist Police,
Gas Leak (Natural and LP Gases).Presidio,Gas Leak (Natural and LP Gases),
Citizen Assist - Service Call.McLaren Park,Citizen Assist - Service Call,
Smoke Investigation (Outside).Excelsior,Smoke Investigation (Outside),
Structure Fire.Twin Peaks,Structure Fire,
Outside Fire.Portola,Outside Fire,
HazMat.Nob Hill,HazMat,
Electrical Hazard.Russian Hill,Electrical Hazard,
Marine Fire.Bayview Hunters Point,Marine Fire,
Electrical Hazard.West of Twin Peaks,Electrical Hazard,
Industrial Accidents.West of Twin Peaks,Industrial Accidents,
Structure Fire.Bernal Heights,Structure Fire,
Odor (Strange - Unknown).West of Twin Peaks,Odor (Strange - Unknown),
Gas Leak (Natural and LP Gases).Marina,Gas Leak (Natural and LP Gases),
Other.Lone Mountain-USF,Other,
Electrical Hazard.Portola,Electrical Hazard,
Assist Police.Western Addition,Assist Police,
Odor (Strange - Unknown).Portola,Odor (Strange - Unknown),
HazMat.Hayes Valley,HazMat,
Structure Fire.Golden Gate Park,Structure Fire,
Vehicle Fire.Mission Bay,Vehicle Fire,
Alarms.Presidio,Alarms,
Train - Rail Incident.Financial District-South Beach,Train - Rail Incident,
Water Rescue.None,Water Rescue,
Fuel Spill.Haight Ashbury,Fuel Spill,
High Angle Rescue.Financial District-South Beach,High Angle Rescue,
Smoke Investigation (Outside).Tenderloin,Smoke Investigation (Outside),
Gas Leak (Natural and LP Gases).Presidio Heights,Gas Leak (Natural and LP Gases),
Electrical Hazard.Western Addition,Electrical Hazard,
Odor (Strange - Unknown).Western Addition,Odor (Strange - Unknown),
Confined Space - Structure Collapse.Mission,Confined Space - Structure Collapse,
Alarms.McLaren Park,Alarms,
Alarms.Seacliff,Alarms,
Odor (Strange - Unknown).Mission,Odor (Strange - Unknown),
Outside Fire.Twin Peaks,Outside Fire,
Gas Leak (Natural and LP Gases).Sunset-Parkside,Gas Leak (Natural and LP Gases),
HazMat.Glen Park,HazMat,
Water Rescue.Sunset-Parkside,Water Rescue,
Watercraft in Distress.Financial District-South Beach,Watercraft in Distress,
Smoke Investigation (Outside).Inner Sunset,Smoke Investigation (Outside),
Electrical Hazard.Lincoln Park,Electrical Hazard,
Gas Leak (Natural and LP Gases).Excelsior,Gas Leak (Natural and LP Gases),
Citizen Assist - Service Call.None,Citizen Assist - Service Call,
Outside Fire.Potrero Hill,Outside Fire,
Alarms.None,Alarms,
Structure Fire.Lincoln Park,Structure Fire,
Alarms.Hayes Valley,Alarms,
Traffic Collision.Seacliff,Traffic Collision,
Fuel Spill.Pacific Heights,Fuel Spill,
Smoke Investigation (Outside).Hayes Valley,Smoke Investigation (Outside),
Smoke Investigation (Outside).McLaren Park,Smoke Investigation (Outside),
Smoke Investigation (Outside).Seacliff,Smoke Investigation (Outside),
HazMat.Haight Ashbury,HazMat,
Vehicle Fire.Golden Gate Park,Vehicle Fire,
Structure Fire.Mission Bay,Structure Fire,
Gas Leak (Natural and LP Gases).Inner Richmond,Gas Leak (Natural and LP Gases),
Explosion.Outer Richmond,Explosion,
Elevator - Escalator Rescue.Visitacion Valley,Elevator - Escalator Rescue,
Smoke Investigation (Outside).Pacific Heights,Smoke Investigation (Outside),
Explosion.Castro-Upper Market,Explosion,
Vehicle Fire.West of Twin Peaks,Vehicle Fire,
Electrical Hazard.Mission,Electrical Hazard,
HazMat.Tenderloin,HazMat,
Gas Leak (Natural and LP Gases).Nob Hill,Gas Leak (Natural and LP Gases),
Electrical Hazard.Oceanview-Merced-Ingleside,Electrical Hazard,
Gas Leak (Natural and LP Gases).Castro-Upper Market,Gas Leak (Natural and LP Gases),
Fuel Spill.Hayes Valley,Fuel Spill,
Odor (Strange - Unknown).Oceanview-Merced-Ingleside,Odor (Strange - Unknown),
Smoke Investigation (Outside).Presidio,Smoke Investigation (Outside),
Marine Fire.North Beach,Marine Fire,
Outside Fire.Outer Mission,Outside Fire,
Electrical Hazard.Financial District-South Beach,Electrical Hazard,
Assist Police.Bernal Heights,Assist Police,
Gas Leak (Natural and LP Gases).Lakeshore,Gas Leak (Natural and LP Gases),
Structure Fire.Portola,Structure Fire,
Gas Leak (Natural and LP Gases).Outer Richmond,Gas Leak (Natural and LP Gases),
Fuel Spill.Presidio,Fuel Spill,
Electrical Hazard.Bernal Heights,Electrical Hazard,
Assist Police.Financial District-South Beach,Assist Police,
"Extrication - Entrapped (Machinery, Vehicle).Noe Valley","Extrication - Entrapped (Machinery, Vehicle)",
Elevator - Escalator Rescue.Potrero Hill,Elevator - Escalator Rescue,
Gas Leak (Natural and LP Gases).Noe Valley,Gas Leak (Natural and LP Gases),
Outside Fire.Russian Hill,Outside Fire,
Vehicle Fire.Western Addition,Vehicle Fire,
Administrative.Tenderloin,Administrative,
Gas Leak (Natural and LP Gases).Bayview Hunters Point,Gas Leak (Natural and LP Gases),
Gas Leak (Natural and LP Gases).Treasure Island,Gas Leak (Natural and LP Gases),
Water Rescue.Bayview Hunters Point,Water Rescue,
Vehicle Fire.Inner Richmond,Vehicle Fire,
Odor (Strange - Unknown).Treasure Island,Odor (Strange - Unknown),
Electrical Hazard.Treasure Island,Electrical Hazard,
Structure Fire.Inner Sunset,Structure Fire,
Structure Fire.Marina,Structure Fire,
Alarms.Chinatown,Alarms,
Gas Leak (Natural and LP Gases).Bernal Heights,Gas Leak (Natural and LP Gases),
Citizen Assist - Service Call.Oceanview-Merced-Ingleside,Citizen Assist - Service Call,
Alarms.Potrero Hill,Alarms,
Water Rescue.Bernal Heights,Water Rescue,
Gas Leak (Natural and LP Gases).Financial District-South Beach,Gas Leak (Natural and LP Gases),
Alarms.Mission Bay,Alarms,
Vehicle Fire.Castro-Upper Market,Vehicle Fire,
Vehicle Fire.Presidio,Vehicle Fire,
Other.Mission Bay,Other,
Vehicle Fire.Financial District-South Beach,Vehicle Fire,
Water Rescue.Marina,Water Rescue,
Industrial Accidents.Mission Bay,Industrial Accidents,
Outside Fire.Japantown,Outside Fire,
Explosion.Financial District-South Beach,Explosion,
Structure Fire.Sunset-Parkside,Structure Fire,
Gas Leak (Natural and LP Gases).Oceanview-Merced-Ingleside,Gas Leak (Natural and LP Gases),
Electrical Hazard.Castro-Upper Market,Electrical Hazard,
Water Rescue.Nob Hill,Water Rescue,
Smoke Investigation (Outside).Lone Mountain-USF,Smoke Investigation (Outside),
Confined Space - Structure Collapse.Bayview Hunters Point,Confined Space - Structure Collapse,
Alarms.Visitacion Valley,Alarms,
Vehicle Fire.Oceanview-Merced-Ingleside,Vehicle Fire,
Other.Western Addition,Other,
Structure Fire.Excelsior,Structure Fire,
Odor (Strange - Unknown).Inner Richmond,Odor (Strange - Unknown),
Assist Police.Castro-Upper Market,Assist Police,
Fuel Spill.Lone Mountain-USF,Fuel Spill,
Vehicle Fire.Outer Richmond,Vehicle Fire,
Elevator - Escalator Rescue.Lakeshore,Elevator - Escalator Rescue,
Smoke Investigation (Outside).Visitacion Valley,Smoke Investigation (Outside),
Electrical Hazard.Nob Hill,Electrical Hazard,
Water Rescue.Mission Bay,Water Rescue,
Odor (Strange - Unknown).Excelsior,Odor (Strange - Unknown),
Outside Fire.Hayes Valley,Outside Fire,
Electrical Hazard.Excelsior,Electrical Hazard,
Gas Leak (Natural and LP Gases).Mission Bay,Gas Leak (Natural and LP Gases),
Alarms.Russian Hill,Alarms,
Water Rescue.Lincoln Park,Water Rescue,
Vehicle Fire.Marina,Vehicle Fire,
Industrial Accidents.Financial District-South Beach,Industrial Accidents,
Watercraft in Distress.Lakeshore,Watercraft in Distress,
Outside Fire.Tenderloin,Outside Fire,
Assist Police.Sunset-Parkside,Assist Police,
Fuel Spill.Visitacion Valley,Fuel Spill,
Structure Fire.Outer Richmond,Structure Fire,
Electrical Hazard.Sunset-Parkside,Electrical Hazard,
Gas Leak (Natural and LP Gases).Golden Gate Park,Gas Leak (Natural and LP Gases),
Explosion.Potrero Hill,Explosion,
Structure Fire.Castro-Upper Market,Structure Fire,
Odor (Strange - Unknown).Sunset-Parkside,Odor (Strange - Unknown),
Outside Fire.Haight Ashbury,Outside Fire,
Elevator - Escalator Rescue.Seacliff,Elevator - Escalator Rescue,
Suspicious Package.Sunset-Parkside,Suspicious Package,
Industrial Accidents.Golden Gate Park,Industrial Accidents,
Electrical Hazard.Noe Valley,Electrical Hazard,
Smoke Investigation (Outside).Chinatown,Smoke Investigation (Outside),
Other.McLaren Park,Other,
Smoke Investigation (Outside).Potrero Hill,Smoke Investigation (Outside),
Vehicle Fire.Sunset-Parkside,Vehicle Fire,
Other.Castro-Upper Market,Other,
High Angle Rescue.Lakeshore,High Angle Rescue,
Electrical Hazard.Presidio Heights,Electrical Hazard,
Outside Fire.Inner Sunset,Outside Fire,
Outside Fire.North Beach,Outside Fire,
HazMat.Russian Hill,HazMat,
Outside Fire.Glen Park,Outside Fire,
Outside Fire.Pacific Heights,Outside Fire,
Fuel Spill.Potrero Hill,Fuel Spill,
Vehicle Fire.Nob Hill,Vehicle Fire,
Smoke Investigation (Outside).South of Market,Smoke Investigation (Outside),
Assist Police.Excelsior,Assist Police,
Fuel Spill.Chinatown,Fuel Spill,
"Extrication - Entrapped (Machinery, Vehicle).Financial District-South Beach","Extrication - Entrapped (Machinery, Vehicle)",
Alarms.Oceanview-Merced-Ingleside,Alarms,
Elevator - Escalator Rescue.Presidio,Elevator - Escalator Rescue,
Structure Fire.Treasure Island,Structure Fire,
Vehicle Fire.Excelsior,Vehicle Fire,
Vehicle Fire.Lakeshore,Vehicle Fire,
Other.Lakeshore,Other,
HazMat.Outer Mission,HazMat,
Electrical Hazard.Marina,Electrical Hazard,
Structure Fire.Noe Valley,Structure Fire,
Watercraft in Distress.Outer Richmond,Watercraft in Distress,
"Extrication - Entrapped (Machinery, Vehicle).West of Twin Peaks","Extrication - Entrapped (Machinery, Vehicle)",
Odor (Strange - Unknown).Marina,Odor (Strange - Unknown),
Odor (Strange - Unknown).Chinatown,Odor (Strange - Unknown),
Alarms.Noe Valley,Alarms,
Electrical Hazard.Chinatown,Electrical Hazard,
Traffic Collision.McLaren Park,Traffic Collision,
Elevator - Escalator Rescue.Outer Mission,Elevator - Escalator Rescue,
Elevator - Escalator Rescue.Pacific Heights,Elevator - Escalator Rescue,
Electrical Hazard.Potrero Hill,Electrical Hazard,
Alarms.Lone Mountain-USF,Alarms,
Odor (Strange - Unknown).Nob Hill,Odor (Strange - Unknown),
Odor (Strange - Unknown).Potrero Hill,Odor (Strange - Unknown),
Other.Potrero Hill,Other,
Industrial Accidents.Outer Mission,Industrial Accidents,
Gas Leak (Natural and LP Gases).Tenderloin,Gas Leak (Natural and LP Gases),
Smoke Investigation (Outside).Presidio Heights,Smoke Investigation (Outside),
Alarms.Treasure Island,Alarms,
Alarms.South of Market,Alarms,
Fuel Spill.Marina,Fuel Spill,
Structure Fire.Oceanview-Merced-Ingleside,Structure Fire,
HazMat.Castro-Upper Market,HazMat,
Industrial Accidents.Nob Hill,Industrial Accidents,
Water Rescue.Tenderloin,Water Rescue,
HazMat.Outer Richmond,HazMat,
Industrial Accidents.Mission,Industrial Accidents,
Other.Outer Richmond,Other,
Citizen Assist - Service Call.Marina,Citizen Assist - Service Call,
Explosion.Haight Ashbury,Explosion,
Medical Incident.Lincoln Park,Medical Incident,
Outside Fire.Chinatown,Outside Fire,
Citizen Assist - Service Call.Presidio Heights,Citizen Assist - Service Call,
Traffic Collision.Pacific Heights,Traffic Collision,
Elevator - Escalator Rescue.Financial District-South Beach,Elevator - Escalator Rescue,
Smoke Investigation (Outside).Marina,Smoke Investigation (Outside),
Other.Golden Gate Park,Other,
Electrical Hazard.Twin Peaks,Electrical Hazard,
Other.Inner Richmond,Other,
Citizen Assist - Service Call.Seacliff,Citizen Assist - Service Call,
HazMat.Inner Richmond,HazMat,
Fuel Spill.Presidio Heights,Fuel Spill,
Odor (Strange - Unknown).Visitacion Valley,Odor (Strange - Unknown),
Medical Incident.West of Twin Peaks,Medical Incident,
Electrical Hazard.Visitacion Valley,Electrical Hazard,
Fuel Spill.Sunset-Parkside,Fuel Spill,
Smoke Investigation (Outside).Nob Hill,Smoke Investigation (Outside),
Medical Incident.Portola,Medical Incident,
Gas Leak (Natural and LP Gases).Western Addition,Gas Leak (Natural and LP Gases),
Industrial Accidents.North Beach,Industrial Accidents,
Citizen Assist - Service Call.Sunset-Parkside,Citizen Assist - Service Call,
Gas Leak (Natural and LP Gases).Inner Sunset,Gas Leak (Natural and LP Gases),
Vehicle Fire.Twin Peaks,Vehicle Fire,
Other.Visitacion Valley,Other,
Citizen Assist - Service Call.Mission Bay,Citizen Assist - Service Call,
Medical Incident.Mission,Medical Incident,
Traffic Collision.Presidio,Traffic Collision,
Citizen Assist - Service Call.Nob Hill,Citizen Assist - Service Call,
Elevator - Escalator Rescue.Lone Mountain-USF,Elevator - Escalator Rescue,
Train - Rail Incident.Outer Mission,Train - Rail Incident,
Fuel Spill.Outer Richmond,Fuel Spill,
Citizen Assist - Service Call.Haight Ashbury,Citizen Assist - Service Call,
Vehicle Fire.Potrero Hill,Vehicle Fire,
Fuel Spill.Nob Hill,Fuel Spill,
Outside Fire.Mission,Outside Fire,
Structure Fire.Bayview Hunters Point,Structure Fire,
Structure Fire.Financial District-South Beach,Structure Fire,
Alarms.Inner Richmond,Alarms,
Outside Fire.West of Twin Peaks,Outside Fire,
Outside Fire.Visitacion Valley,Outside Fire,
Other.Outer Mission,Other,
"Extrication - Entrapped (Machinery, Vehicle).Japantown","Extrication - Entrapped (Machinery, Vehicle)",
Water Rescue.Golden Gate Park,Water Rescue,
Odor (Strange - Unknown).Bayview Hunters Point,Odor (Strange - Unknown),
Smoke Investigation (Outside).Outer Richmond,Smoke Investigation (Outside),
Electrical Hazard.Bayview Hunters Point,Electrical Hazard,
Smoke Investigation (Outside).Castro-Upper Market,Smoke Investigation (Outside),
Elevator - Escalator Rescue.Lincoln Park,Elevator - Escalator Rescue,
Other.Mission,Other,
Odor (Strange - Unknown).South of Market,Odor (Strange - Unknown),
Outside Fire.Golden Gate Park,Outside Fire,
Electrical Hazard.Lone Mountain-USF,Electrical Hazard,
Alarms.Haight Ashbury,Alarms,
Odor (Strange - Unknown).Lone Mountain-USF,Odor (Strange - Unknown),
Structure Fire.Western Addition,Structure Fire,
Elevator - Escalator Rescue.Mission Bay,Elevator - Escalator Rescue,
Gas Leak (Natural and LP Gases).Haight Ashbury,Gas Leak (Natural and LP Gases),
Other.West of Twin Peaks,Other,
Alarms.Nob Hill,Alarms,
Alarms.Outer Richmond,Alarms,
Vehicle Fire.Bernal Heights,Vehicle Fire,
Other.Portola,Other,
Gas Leak (Natural and LP Gases).Pacific Heights,Gas Leak (Natural and LP Gases),
Traffic Collision.Twin Peaks,Traffic Collision,
Water Rescue.Financial District-South Beach,Water Rescue,
Citizen Assist - Service Call.Glen Park,Citizen Assist - Service Call,
Water Rescue.Hayes Valley,Water Rescue,
Electrical Hazard.Outer Mission,Electrical Hazard,
Industrial Accidents.Tenderloin,Industrial Accidents,
Outside Fire.Mission Bay,Outside Fire,
Citizen Assist - Service Call.North Beach,Citizen Assist - Service Call,
Gas Leak (Natural and LP Gases).Hayes Valley,Gas Leak (Natural and LP Gases),
Gas Leak (Natural and LP Gases).Japantown,Gas Leak (Natural and LP Gases),
Structure Fire.Presidio Heights,Structure Fire,
Alarms.Tenderloin,Alarms,
Outside Fire.South of Market,Outside Fire,
Alarms.Sunset-Parkside,Alarms,
Citizen Assist - Service Call.Pacific Heights,Citizen Assist - Service Call,
Citizen Assist - Service Call.Bernal Heights,Citizen Assist - Service Call,
Smoke Investigation (Outside).Treasure Island,Smoke Investigation (Outside),
Traffic Collision.None,Traffic Collision,
Vehicle Fire.Outer Mission,Vehicle Fire,
Smoke Investigation (Outside).Sunset-Parkside,Smoke Investigation (Outside),
Traffic Collision.Noe Valley,Traffic Collision,
Smoke Investigation (Outside).Bayview Hunters Point,Smoke Investigation (Outside),
Outside Fire.Oceanview-Merced-Ingleside,Outside Fire,
Fuel Spill.Lakeshore,Fuel Spill,
Smoke Investigation (Outside).Noe Valley,Smoke Investigation (Outside),
HazMat.Excelsior,HazMat,
Other.Excelsior,Other,
Other.Chinatown,Other,
Citizen Assist - Service Call.Golden Gate Park,Citizen Assist - Service Call,
Elevator - Escalator Rescue.Western Addition,Elevator - Escalator Rescue,
Outside Fire.Western Addition,Outside Fire,
Smoke Investigation (Outside).Lakeshore,Smoke Investigation (Outside),
Structure Fire.Nob Hill,Structure Fire,
Structure Fire.Potrero Hill,Structure Fire,
Vehicle Fire.Russian Hill,Vehicle Fire,
Explosion.Glen Park,Explosion,
Elevator - Escalator Rescue.West of Twin Peaks,Elevator - Escalator Rescue,
Fuel Spill.Bayview Hunters Point,Fuel Spill,
Fuel Spill.Treasure Island,Fuel Spill,
Vehicle Fire.South of Market,Vehicle Fire,
Elevator - Escalator Rescue.Portola,Elevator - Escalator Rescue,
Citizen Assist - Service Call.Japantown,Citizen Assist - Service Call,
Citizen Assist - Service Call.Bayview Hunters Point,Citizen Assist - Service Call,
Vehicle Fire.Visitacion Valley,Vehicle Fire,
Structure Fire.Chinatown,Structure Fire,
Structure Fire.Visitacion Valley,Structure Fire,
Citizen Assist - Service Call.Financial District-South Beach,Citizen Assist - Service Call,
Gas Leak (Natural and LP Gases).North Beach,Gas Leak (Natural and LP Gases),
Alarms.Inner Sunset,Alarms,
Citizen Assist - Service Call.Castro-Upper Market,Citizen Assist - Service Call,
Citizen Assist - Service Call.Noe Valley,Citizen Assist - Service Call,
Structure Fire.West of Twin Peaks,Structure Fire,
Elevator - Escalator Rescue.Mission,Elevator - Escalator Rescue,
Gas Leak (Natural and LP Gases).Glen Park,Gas Leak (Natural and LP Gases),
Fuel Spill.Noe Valley,Fuel Spill,
Water Rescue.Presidio,Water Rescue,
"Extrication - Entrapped (Machinery, Vehicle).Oceanview-Merced-Ingleside","Extrication - Entrapped (Machinery, Vehicle)",
Vehicle Fire.Pacific Heights,Vehicle Fire,
Electrical Hazard.South of Market,Electrical Hazard,
Electrical Hazard.Outer Richmond,Electrical Hazard,
Citizen Assist - Service Call.Outer Mission,Citizen Assist - Service Call,
Mutual Aid - Assist Outside Agency.Mission,Mutual Aid - Assist Outside Agency,
Alarms.Lakeshore,Alarms,
Electrical Hazard.Presidio,Electrical Hazard,
Citizen Assist - Service Call.Lakeshore,Citizen Assist - Service Call,
Alarms.Mission,Alarms,
Traffic Collision.Visitacion Valley,Traffic Collision,
Outside Fire.Bernal Heights,Outside Fire,
Other.Nob Hill,Other,
Alarms.West of Twin Peaks,Alarms,
Alarms.Portola,Alarms,
Elevator - Escalator Rescue.Marina,Elevator - Escalator Rescue,
Smoke Investigation (Outside).Financial District-South Beach,Smoke Investigation (Outside),
Vehicle Fire.Treasure Island,Vehicle Fire,
Citizen Assist - Service Call.Russian Hill,Citizen Assist - Service Call,
Outside Fire.Financial District-South Beach,Outside Fire,
